womparl,lnmmrt,country,year,quota,lngdp
28.799999,4.2626801,Albania,1990,0,8.460165
3.5999999,4.234107,Albania,1991,0,8.1153727
5.6999998,4.174387,Albania,1992,0,8.0467138
5.6999998,4.1431351,Albania,1993,0,8.1444826
5.6999998,3.89182,Albania,1994,0,8.2303562
5.6999998,3.9702921,Albania,1995,0,8.3614035
12.1,3.9120231,Albania,1996,0,8.4547119
5.1999998,3.9318261,Albania,1997,0,8.3462524
5.1999998,3.8286409,Albania,1998,0,8.4388046
5.1999998,3.7376699,Albania,1999,0,8.5717812
5.1999998,3.7612,Albania,2000,0,8.6426926
5.6999998,3.688879,Albania,2001,0,8.7284861
5.6999998,3.610918,Albania,2002,0,8.7729282
5.6999998,3.5553479,Albania,2003,0,8.832799
6.4000001,3.4339869,Albania,2004,0,8.8925037
7.0999999,3.401197,Albania,2005,0,8.9532528
7.0999999,3.367296,Albania,2006,0,9.0124483
7.0999999,3.401197,Albania,2007,0,9.0773306
7.0999999,3.401197,Albania,2008,0,9.1219234
16.4,3.401197,Albania,2009,0,9.1616383
16.4,3.401197,Albania,2010,0,9.2030315
15.7,3.401197,Albania,2011,0,9.2309036
15.7,3.401197,Albania,2012,0,9.2466555
17.9,3.367296,Albania,2013,0,9.2584448
20,3.367296,Albania,2014,0,9.2781038
20.714279,3.367296,Albania,2015,0,9.3030376
2.4000001,5.375278,Algeria,1990,0,9.2337484
2.4000001,5.3471069,Algeria,1991,0,9.1972036
10,5.32301,Algeria,1992,0,9.1917143
10,5.3033051,Algeria,1993,0,9.1484709
6.6999998,5.2781148,Algeria,1994,0,9.1189127
6.6999998,5.2574949,Algeria,1995,0,9.1372766
6.6999998,5.2417469,Algeria,1996,0,9.1600666
3.2,5.2149358,Algeria,1997,0,9.1549711
3.2,5.187386,Algeria,1998,0,9.189805
3.2,5.1590552,Algeria,1999,0,9.2072325
3.4000001,5.135798,Algeria,2000,0,9.2312212
3.4000001,5.0998659,Algeria,2001,0,9.2478466
6.1999998,5.0625949,Algeria,2002,0,9.2897511
6.1999998,5.0304379,Algeria,2003,0,9.3466091
6.1999998,5.0106349,Algeria,2004,0,9.3756161
6.1999998,4.9972119,Algeria,2005,0,9.4191809
6.1999998,4.9904332,Algeria,2006,0,9.4212875
7.6999998,4.9972119,Algeria,2007,0,9.4391203
7.6999998,4.9972119,Algeria,2008,0,9.4462347
7.6999998,4.9972119,Algeria,2009,0,9.4452181
7.6999998,4.9904332,Algeria,2010,0,9.4627008
8,4.9904332,Algeria,2011,0,9.471962
31.6,4.9767342,Algeria,2012,1,9.4850864
31.6,4.9698129,Algeria,2013,1,9.4920254
31.6,4.94876,Algeria,2014,1,9.5092096
31.60173,4.9416418,Algeria,2015,1,9.5269537
14.5,7.0561752,Angola,1990,0,8.3880701
19,7.0561752,Angola,1991,0,8.3450947
9.5,7.0732698,Angola,1992,0,8.2410831
9.5,7.0732698,Angola,1993,0,7.9243708
9.5,7.0732698,Angola,1994,0,7.9266491
9.5,7.0475168,Angola,1995,0,7.9951558
9.5,7.0210838,Angola,1996,0,8.0727644
9.5,6.9754138,Angola,1997,0,8.1214752
15.5,6.937314,Angola,1998,0,8.1601543
15.5,6.8885732,Angola,1999,0,8.1637135
15.5,6.828712,Angola,2000,0,8.1630592
15.5,6.777647,Angola,2001,0,8.1719465
15.5,6.72263,Angola,2002,0,8.0659018
15.5,6.6707659,Angola,2003,0,8.0817833
15,6.6187391,Angola,2004,0,8.1493177
15,6.558198,Angola,2005,0,8.2812862
15,6.5042882,Angola,2006,0,8.4340544
15,6.4614682,Angola,2007,0,8.602109
37.299999,6.4068799,Angola,2008,0,8.6958971
38.599998,6.3647509,Angola,2009,0,8.6840715
38.599998,6.329721,Angola,2010,0,8.681879
38.200001,6.302619,Angola,2011,0,8.6846132
34.099998,6.2653012,Angola,2012,0,8.6992874
34.099998,6.2324481,Angola,2013,0,8.7298841
36.799999,6.2005091,Angola,2014,0,8.7419567
36.81818,6.1675172,Angola,2015,0,8.7373028
6.3000002,4.2766662,Argentina,1990,0,9.2887554
5.8000002,4.2626801,Argentina,1991,0,9.3939629
5.8000002,4.234107,Argentina,1992,0,9.4929638
14.4,4.174387,Argentina,1993,0,9.5369024
14.4,4.1588831,Argentina,1994,0,9.5805998
21.799999,4.1431351,Argentina,1995,0,9.5391779
21.799999,4.1431351,Argentina,1996,0,9.580904
27.6,4.1588831,Argentina,1997,0,9.6472635
27.6,4.1108742,Argentina,1998,0,9.6737318
26.5,4.1271338,Argentina,1999,0,9.6281376
26.5,4.0943451,Argentina,2000,0,9.609108
30.700001,4.1108742,Argentina,2001,0,9.552907
30.700001,4.0943451,Argentina,2002,0,9.4264679
30.700001,4.1108742,Argentina,2003,0,9.5001249
33.700001,4.077538,Argentina,2004,0,9.5756884
36.200001,4.0604429,Argentina,2005,0,9.6497993
35,4.0430508,Argentina,2006,0,9.716692
40,4.0604429,Argentina,2007,0,9.7925959
40,4.0430508,Argentina,2008,0,9.8221073
38.5,4.1271338,Argentina,2009,0,9.7508249
38.5,4.0604429,Argentina,2010,0,9.8369236
37.400002,4.025352,Argentina,2011,0,9.8847809
37.400002,4.0073328,Argentina,2012,0,9.8639603
37.35408,3.9889841,Argentina,2013,0,9.8772564
36.599998,3.9889841,Argentina,2014,0,9.8414822
36.186771,3.9512441,Argentina,2015,0,9.8575125
35.599998,4.0604429,Armenia,1990,0,8.2274923
3.7,3.871201,Armenia,1991,0,8.1124086
3.7,4.0073328,Armenia,1992,0,7.589097
3.7,4.0430508,Armenia,1993,0,7.5204082
3.7,3.9120231,Armenia,1994,0,7.5969038
6.3000002,3.9120231,Armenia,1995,0,7.684031
6.3000002,3.9318261,Armenia,1996,0,7.7564158
6.3000002,3.8286409,Armenia,1997,0,7.8002381
6.3000002,3.8286409,Armenia,1998,0,7.8785148
3.0999999,3.688879,Armenia,1999,0,7.9173288
3.0999999,3.688879,Armenia,2000,0,7.9809632
3.0999999,3.6635621,Armenia,2001,0,8.0784216
3.0999999,3.806663,Armenia,2002,0,8.2077951
4.5999999,3.7612,Armenia,2003,0,8.3444996
5.3000002,3.713572,Armenia,2004,0,8.4497671
5.3000002,3.688879,Armenia,2005,0,8.5860872
5.3000002,3.688879,Armenia,2006,0,8.7177191
9.1999998,3.5553479,Armenia,2007,0,8.8551826
8.3999996,3.6635621,Armenia,2008,0,8.9304094
9.1999998,3.583519,Armenia,2009,0,8.7846165
9.1999998,3.4965079,Armenia,2010,0,8.8102875
8.3999996,3.4339869,Armenia,2011,0,8.8568182
10.7,3.401197,Armenia,2012,0,8.9241419
10.7,3.3322051,Armenia,2013,0,8.9525967
10.7,3.258096,Armenia,2014,0,8.9835796
10.68702,3.2188759,Armenia,2015,0,9.0113935
